11/8/2018,19:00,Midland,NC,Circle,1 minute
11/8/2018,18:45,Portsmouth,VA,Fireball,4 seconds
11/8/2018,17:34,Tonawanda,NY,Sphere,1 minute
11/8/2018,17:30,Whiteville,TN,Circle,10 minutes
11/8/2018,7:00,Cary,NC,Cross,1 minute
11/8/2018,1:00,Townshend,VT,Fireball,1 minute
11/7/2018,21:09,Olympia,WA,Light,1 hour
11/7/2018,19:10,Salt Lake City,UT,Triangle,10 seconds
11/7/2018,19:00,Fort Myers,FL,Circle,5 minutes
11/7/2018,18:35,Grove City,OH,Fireball,1 hour
11/7/2018,18:28,Fairfax,VA,Cigar,4 seconds
11/7/2018,5:15,Reno,NV,Chevron,1 minute
11/6/2018,19:30,Amity,OR,Light,7 minutes
11/6/2018,17:36,Santaquin,UT,Light,3 minutes
11/5/2018,23:45,Granite Bay,CA,Diamond,45 minutes
11/5/2018,21:30,Roswell,NM,Light,1 minute
11/5/2018,19:27,Orlando,FL,Triangle,2 minutes
11/4/2018,20:18,Barrington,IL,Circle,20 minutes
11/3/2018,23:00,Baltimore,MD,Flash,5 seconds
11/3/2018,23:00,Fire Island,NY,Changing,15 minutes
11/3/2018,20:30,Gretna,NE,Triangle,1 minute
11/3/2018,19:45,Laporte,IN,Light,5 minutes
11/3/2018,19:30,Cape Girardeau,MO,Triangle,10 minutes
11/3/2018,2:00,Vancleave,MS,Formation,4 minutes
11/3/2018,1:00,Burlington,CT,Triangle,3 hours
11/2/2018,21:45,Omaha,NE,Oval,5 minutes
11/2/2018,19:15,Owasso,OK,Light,10 seconds
11/2/2018,18:35,Maumelle,AR,Cone,30 seconds
11/2/2018,0:30,San Antonio,TX,Rectangle,5 seconds
11/1/2018,18:00,Louisburg,KS,Light,5 minutes
11/1/2018,1:30,Lake Helen,FL,Oval,3 minutes
11/1/2018,1:00,Albany,NY,Flash,20 minutes
